	pielou_e
H2-A-B_ASD	0.8663681910795282
H2-A-M_ASD	0.8781571153965713
H2-A-T_ASD	0.8716133453613683
H2-B-B_ASD	0.8564360646129731
H2-B-M_ASD	0.8273935273680723
H2-B-T_ASD	0.8436638928964068
H2-C-B_ASD	0.8600562627687584
H2-C-M_ASD	0.8728199396660149
H2-C-T_ASD	0.8853963062659619
H3-A-B_ASD	0.871265532956116
H3-A-M_ASD	0.8697617903382978
H3-A-T_ASD	0.8965343729317944
H3-B-B_ASD	0.8699639334210577
H3-B-M_ASD	0.8750529262060281
H3-B-T_ASD	0.8720945246482583
H3-C-B_ASD	0.8386316772659759
H3-C-M_ASD	0.8815125798093341
H3-C-T_ASD	0.8684394948176348
H4-A-B_ASD	0.874900097312574
H4-A-M_ASD	0.8693499895408415
H4-A-T_ASD	0.8673534671044715
H4-B-B_ASD	0.8706189178298754
H4-B-M_ASD	0.8648596951719265
H4-B-T_ASD	0.8692366399083908
H4-C-B_ASD	0.9144588069870362
H4-C-M_ASD	0.8757056999823799
H4-C-T_ASD	0.8623581842297896
H5-A-M_ASD	0.85554238907677
H5-B-B_ASD	0.8601364209543353
H5-B-M_ASD	0.8390424130210131
H5-B-T_ASD	0.8759832601612191
H5-C-B_ASD	0.900949351897722
H5-C-T_ASD	0.8930907452673474
H6-A-B_ASD	0.9075279770210156
H6-A-M_ASD	0.8873560483941215
H6-A-T_ASD	0.882960284047372
H6-B-B_ASD	0.9022580704572907
H6-B-M_ASD	0.8933357556259692
H6-C-B_ASD	0.8844086841273202
H6-C-M_ASD	0.8853653645469775
H6-C-T_ASD	0.8739066797104816
H7-B-B_ASD	0.8767920760988049
H7-B-M_ASD	0.8805706866231698
H7-B-T_ASD	0.882627040161852
H7-C-M_ASD	0.8719695571012682
H7-C-T_ASD	0.8619943071414033
