	faith_pd
H2-A-B_ASD	13.187883607999998
H2-A-M_ASD	11.689274657999999
H2-A-T_ASD	13.789293800000001
H2-B-B_ASD	14.227119688999998
H2-B-M_ASD	13.582463852
H2-B-T_ASD	13.438174281
H2-C-B_ASD	7.7616257399999995
H2-C-M_ASD	13.073671188999999
H2-C-T_ASD	12.071744503999998
H3-A-B_ASD	9.815215364
H3-A-M_ASD	12.199437479
H3-A-T_ASD	9.617130646
H3-B-B_ASD	15.641983274
H3-B-M_ASD	10.862301830000002
H3-B-T_ASD	9.841363975
H3-C-B_ASD	11.550845510999999
H3-C-M_ASD	9.053411091000001
H3-C-T_ASD	10.523193706
H4-A-B_ASD	22.792288866
H4-A-M_ASD	12.539065301999997
H4-A-T_ASD	10.064728439
H4-B-B_ASD	10.40676467
H4-B-M_ASD	17.053462451
H4-B-T_ASD	14.888643993999999
H4-C-B_ASD	9.369627357
H4-C-M_ASD	10.239707344
H4-C-T_ASD	8.019715042
H5-A-M_ASD	13.255888919000002
H5-B-B_ASD	14.047068142
H5-B-M_ASD	15.53900407
H5-B-T_ASD	13.668633447000001
H5-C-B_ASD	11.590252194
H5-C-T_ASD	11.365991511
H6-A-B_ASD	11.551502943
H6-A-M_ASD	16.123631779
H6-A-T_ASD	13.94604719
H6-B-B_ASD	14.116574003
H6-B-M_ASD	16.298514783999998
H6-C-B_ASD	14.082557211000001
H6-C-M_ASD	13.652248208000001
H6-C-T_ASD	10.708763349
H7-B-B_ASD	15.784544062999998
H7-B-M_ASD	13.306639257999999
H7-B-T_ASD	12.269129817
H7-C-M_ASD	14.793715908999998
H7-C-T_ASD	12.410492753999998
